Ord No (sample number),Poros [% vol],k [W/m/K] (unsaturated),k [W/m/K] (saturated),Vp [m/s] (unsaturated),Vp [m/s] (saturated),Rock,Country,Area (region),Area (location),Stratigraphy (Chronostratigraphy)
989,,2.41,,5760,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
990,0.84,2.46,,6320,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
991,1.20,2.47,,5800,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
992,0.77,2.52,,5840,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
993,0.37,2.52,,6070,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
994,0.34,2.52,,6810,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
995,0.45,2.53,,5080,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
996,0.97,2.54,,5710,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
997,0.59,2.54,,6090,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
998,0.28,2.56,,5480,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
999,1.01,2.57,,5070,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1000,2.60,2.57,,4540,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1001,0.53,2.57,,6490,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1002,1.20,2.58,,6000,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1003,1.09,2.62,,4560,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1004,1.38,2.76,,6430,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1005,,2.92,,7620,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
1006,1.98,2.63,,4540,,Granodiorite,Germany,Odenwald,Darmstadt,Paleozoic
1007,1.25,3.03,,6810,,Granodiorite,Germany,Odenwald,Darmstadt,Paleozoic
1008,,1.92,,2560,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1009,,1.96,,2170,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1010,,2.08,,2640,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1011,,2.23,,4800,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1012,,2.25,,4300,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1013,,2.27,,3940,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1014,,2.31,,5270,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1015,,2.34,,4580,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1016,,2.35,,4860,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1017,,2.38,,4590,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1018,,2.41,,5400,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1019,,2.44,,4800,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1020,,2.46,,5400,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1021,,2.47,,4730,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1022,,2.50,,5010,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1023,,2.53,,5190,,Granodiorite,Germany,Odenwald,Sonderbach,Paleozoic
1024,2.68,2.51,,2980,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1025,2.61,2.51,,3050,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1026,2.61,2.51,,3050,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1027,,2.54,,2980,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1028,,2.54,,3050,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1029,0.34,2.67,,5350,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1030,,2.71,,4210,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1031,1.41,2.76,,4210,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1032,1.41,2.76,,4210,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1033,0.17,2.82,,5560,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1034,0.04,2.83,,5500,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1035,0.67,2.84,,5180,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1036,0.67,2.84,,5180,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1037,0.32,2.84,,5790,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1038,0.38,2.85,,5430,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1039,0.15,2.85,,5710,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1040,0.88,2.86,,4460,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1041,0.75,2.86,,5280,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1042,0.04,2.86,,5730,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1043,0.76,2.87,,4410,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1044,0.76,2.87,,4410,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1045,0.57,2.88,,5080,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1046,0.27,2.88,,5520,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1047,,2.89,,4460,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1048,0.42,2.89,,5380,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1049,0.03,2.90,,4740,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1050,0.59,2.90,,4950,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1051,,2.91,,5080,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1052,0.55,2.92,,4620,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1053,0.77,2.93,,5180,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1054,0.58,2.93,,5250,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1055,0.58,2.93,,5250,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1056,0.24,2.95,,5040,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1057,0.24,2.95,,5040,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1058,,2.96,,5180,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1059,0.46,2.96,,5730,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1060,0.46,2.96,,5780,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1061,,2.99,,5710,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1062,0.43,3.01,,5580,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1063,0.43,3.01,,5580,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1064,,3.02,,5040,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1065,0.10,3.11,,5530,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1066,0.50,3.15,,5530,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1067,0.57,3.18,,5120,,Granodiorite,Germany,Odenwald,Waldhambach,Carboniferous
1068,,3.20,,5580,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1069,,3.39,,5120,,Granodiorite,Germany,Odenwald,Waldhambach,Paleozoic
1070,4.83,1.78,,3530,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1071,8.16,1.87,,1900,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1072,8.17,2.03,,2310,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1073,9.44,2.27,,1800,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1074,3.33,2.77,,4880,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1075,3.28,2.79,,5570,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1076,3.79,2.82,,4430,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1077,3.17,2.91,,4680,,Granodiorite,Germany,Sprendlinger Horst,"Messel, Well GA2",Paleozoic
1078,,2.27,,4080,,Granite,China,Gonghe Basin,,Triassic
1079,,2.33,,3850,,Granite,China,Gonghe Basin,,Triassic
1080,,2.33,,4140,,Granite,China,Gonghe Basin,,Triassic
1081,,2.35,,4100,,Granite,China,Gonghe Basin,,Triassic
1082,,2.36,,4130,,Granite,China,Gonghe Basin,,Triassic
1083,,2.37,,4200,,Granite,China,Gonghe Basin,,Triassic
1084,,2.44,,2920,,Granite,China,Gonghe Basin,,Triassic
1085,,2.44,,3730,,Granite,China,Gonghe Basin,,Triassic
1086,,2.49,,3720,,Granite,China,Gonghe Basin,,Triassic
1087,,2.50,,3580,,Granite,China,Gonghe Basin,,Triassic
1088,,2.51,,3390,,Granite,China,Gonghe Basin,,Triassic
1089,,2.54,,6210,,Granite,China,Gonghe Basin,,Triassic
1090,,2.56,,4430,,Granite,China,Gonghe Basin,,Triassic
1091,,2.56,,6890,,Granite,China,Gonghe Basin,,Triassic
1092,,2.58,,5190,,Granite,China,Gonghe Basin,,Triassic
1093,,2.60,,4100,,Granite,China,Gonghe Basin,,Triassic
1094,,2.63,,4230,,Granite,China,Gonghe Basin,,Triassic
1095,,2.66,,5150,,Granite,China,Gonghe Basin,,Triassic
1096,,2.70,,6900,,Granite,China,Gonghe Basin,,Triassic
1097,,2.72,,4480,,Granite,China,Gonghe Basin,,Triassic
1098,,2.73,,3770,,Granite,China,Gonghe Basin,,Triassic
1099,,2.73,,6470,,Granite,China,Gonghe Basin,,Triassic
1100,,2.73,,6660,,Granite,China,Gonghe Basin,,Triassic
1101,,2.73,,5650,,Granite,China,Gonghe Basin,,Triassic
1102,,2.74,,4390,,Granite,China,Gonghe Basin,,Triassic
1103,,2.74,,3880,,Granite,China,Gonghe Basin,,Triassic
1104,,2.74,,6460,,Granite,China,Gonghe Basin,,Triassic
1105,,2.75,,6160,,Granite,China,Gonghe Basin,,Triassic
1106,,2.76,,5680,,Granite,China,Gonghe Basin,,Triassic
1107,,2.78,,4650,,Granite,China,Gonghe Basin,,Triassic
1108,,2.78,,4540,,Granite,China,Gonghe Basin,,Triassic
1109,,2.79,,4010,,Granite,China,Gonghe Basin,,Triassic
1110,,2.80,,4160,,Granite,China,Gonghe Basin,,Triassic
1111,,2.81,,3750,,Granite,China,Gonghe Basin,,Triassic
1112,,2.81,,4590,,Granite,China,Gonghe Basin,,Triassic
1113,,2.83,,6400,,Granite,China,Gonghe Basin,,Triassic
1114,,2.83,,5750,,Granite,China,Gonghe Basin,,Triassic
1115,,2.83,,4700,,Granite,China,Gonghe Basin,,Triassic
1116,,2.86,,6020,,Granite,China,Gonghe Basin,,Triassic
1117,,2.86,,4600,,Granite,China,Gonghe Basin,,Triassic
1118,,2.86,,5540,,Granite,China,Gonghe Basin,,Triassic
1119,,2.87,,5080,,Granite,China,Gonghe Basin,,Triassic
1120,,2.88,,4060,,Granite,China,Gonghe Basin,,Triassic
1121,,2.90,,5270,,Granite,China,Gonghe Basin,,Triassic
1122,,2.90,,5390,,Granite,China,Gonghe Basin,,Triassic
1123,,2.90,,5810,,Granite,China,Gonghe Basin,,Triassic
1124,,2.91,,3780,,Granite,China,Gonghe Basin,,Triassic
1125,,2.91,,4020,,Granite,China,Gonghe Basin,,Triassic
1126,,2.92,,3920,,Granite,China,Gonghe Basin,,Triassic
1127,,2.93,,4470,,Granite,China,Gonghe Basin,,Triassic
1128,,2.94,,5630,,Granite,China,Gonghe Basin,,Triassic
1129,,2.94,,4380,,Granite,China,Gonghe Basin,,Triassic
1130,,2.94,,3410,,Granite,China,Gonghe Basin,,Triassic
1131,,2.94,,6380,,Granite,China,Gonghe Basin,,Triassic
1132,,2.95,,4390,,Granite,China,Gonghe Basin,,Triassic
1133,,2.96,,4180,,Granite,China,Gonghe Basin,,Triassic
1134,,2.96,,4230,,Granite,China,Gonghe Basin,,Triassic
1135,,2.97,,6220,,Granite,China,Gonghe Basin,,Triassic
1136,,2.97,,5390,,Granite,China,Gonghe Basin,,Triassic
1137,,2.98,,4250,,Granite,China,Gonghe Basin,,Triassic
1138,,3.00,,5850,,Granite,China,Gonghe Basin,,Triassic
1139,,3.00,,4670,,Granite,China,Gonghe Basin,,Triassic
1140,,3.00,,4280,,Granite,China,Gonghe Basin,,Triassic
1141,,3.01,,5190,,Granite,China,Gonghe Basin,,Triassic
1142,,3.02,,6130,,Granite,China,Gonghe Basin,,Triassic
1143,,3.02,,4810,,Granite,China,Gonghe Basin,,Triassic
1144,,3.05,,3880,,Granite,China,Gonghe Basin,,Triassic
1145,,3.06,,4090,,Granite,China,Gonghe Basin,,Triassic
1146,,3.07,,5480,,Granite,China,Gonghe Basin,,Triassic
1147,,3.07,,4850,,Granite,China,Gonghe Basin,,Triassic
1148,,3.09,,5210,,Granite,China,Gonghe Basin,,Triassic
1149,,3.09,,6510,,Granite,China,Gonghe Basin,,Triassic
1150,,3.10,,4330,,Granite,China,Gonghe Basin,,Triassic
1151,,3.10,,6050,,Granite,China,Gonghe Basin,,Triassic
1152,,3.11,,3660,,Granite,China,Gonghe Basin,,Triassic
1153,,3.12,,4270,,Granite,China,Gonghe Basin,,Triassic
1154,,3.12,,4970,,Granite,China,Gonghe Basin,,Triassic
1155,,3.13,,4720,,Granite,China,Gonghe Basin,,Triassic
1156,,3.15,,5160,,Granite,China,Gonghe Basin,,Triassic
1157,,3.15,,6170,,Granite,China,Gonghe Basin,,Triassic
1158,,3.15,,4870,,Granite,China,Gonghe Basin,,Triassic
1159,,3.16,,3960,,Granite,China,Gonghe Basin,,Triassic
1160,,3.16,,4540,,Granite,China,Gonghe Basin,,Triassic
1161,,3.17,,4380,,Granite,China,Gonghe Basin,,Triassic
1162,,3.18,,5360,,Granite,China,Gonghe Basin,,Triassic
1163,,3.19,,4740,,Granite,China,Gonghe Basin,,Triassic
1164,,3.21,,5450,,Granite,China,Gonghe Basin,,Triassic
1165,,3.24,,4280,,Granite,China,Gonghe Basin,,Triassic
1166,,3.26,,3360,,Granite,China,Gonghe Basin,,Triassic
1167,,3.27,,6010,,Granite,China,Gonghe Basin,,Triassic
1168,,3.28,,5380,,Granite,China,Gonghe Basin,,Triassic
1169,,3.28,,4460,,Granite,China,Gonghe Basin,,Triassic
1170,,3.32,,4480,,Granite,China,Gonghe Basin,,Triassic
1171,3.28,2.90,,4040,,Granite,Germany,Odenwald,Darmstadt,Paleozoic
1172,4.21,3.08,,5340,,Granite,Germany,Odenwald,Darmstadt,Paleozoic
1173,,2.99,,4660,,Granite,Germany,Odenwald,Dieburg,Paleozoic
1174,,3.05,,6820,,Granite,Germany,Odenwald,Dieburg,Paleozoic
1175,,3.09,,4030,,Granite,Germany,Odenwald,Dieburg,Paleozoic
1176,,3.47,,5770,,Granite,Germany,Odenwald,Dieburg,Paleozoic
1177,,3.47,,5770,,Granite,Germany,Odenwald,Dieburg,Paleozoic
1178,,2.47,,4370,,Granite,Germany,Odenwald,Edenkoben,Paleozoic
1179,,2.48,,4530,,Granite,Germany,Odenwald,Edenkoben,Paleozoic
1180,,2.51,,4410,,Granite,Germany,Odenwald,Edenkoben,Paleozoic
1181,,2.51,,4420,,Granite,Germany,Odenwald,Edenkoben,Paleozoic
1182,,2.52,,6010,,Granite,Germany,Odenwald,Heppenheim,
1183,,2.54,,5690,,Granite,Germany,Odenwald,Heppenheim,
1184,,2.56,,5350,,Granite,Germany,Odenwald,Heppenheim,
1185,,2.57,,4360,,Granite,Germany,Odenwald,Heppenheim,
1186,,2.58,,4820,,Granite,Germany,Odenwald,Heppenheim,
1187,,2.60,,4920,,Granite,Germany,Odenwald,Heppenheim,
1188,,2.63,,5590,,Granite,Germany,Odenwald,Heppenheim,
1189,,2.63,,4710,,Granite,Germany,Odenwald,Heppenheim,
1190,,2.69,,5350,,Granite,Germany,Odenwald,Heppenheim,
1191,,2.71,,4180,,Granite,Germany,Odenwald,Heppenheim,
1192,,2.75,,5910,,Granite,Germany,Odenwald,Heppenheim,
1193,,2.75,,4340,,Granite,Germany,Odenwald,Heppenheim,
1194,,2.78,,5310,,Granite,Germany,Odenwald,Heppenheim,
1195,,2.80,,4940,,Granite,Germany,Odenwald,Heppenheim,
1196,,2.94,,4700,,Granite,Germany,Odenwald,Heppenheim,
1197,,3.29,,6080,,Granite,Germany,Sprendlinger Horst,Darmstadt,Paleozoic
1198,,3.45,,5510,,Granite,Germany,Sprendlinger Horst,Darmstadt,Paleozoic
1199,,3.55,,5480,,Granite,Germany,Sprendlinger Horst,Darmstadt,Paleozoic
1200,,2.28,,6200,,Granite,,,,
1201,,2.32,,6250,,Granite,,,,
1202,,2.37,,5840,,Granite,,,,
1203,,2.39,,6270,,Granite,,,,
1204,,2.39,,6060,,Granite,,,,
1205,,2.40,,5930,,Granite,,,,
1206,,2.40,,6390,,Granite,,,,
1207,,2.40,,5560,,Granite,,,,
1208,,2.41,,6410,,Granite,,,,
1209,,2.41,,6350,,Granite,,,,
1210,,2.43,,5850,,Granite,,,,
1211,,2.43,,6470,,Granite,,,,
1212,,2.43,,5920,,Granite,,,,
1213,,2.45,,7090,,Granite,,,,
1214,,2.47,,6060,,Granite,,,,
1215,,2.50,,6130,,Granite,,,,
1216,,2.50,,6360,,Granite,,,,
1217,,2.51,,6520,,Granite,,,,
1218,,2.51,,6720,,Granite,,,,
1219,,2.52,,5920,,Granite,,,,
1220,,2.53,,6440,,Granite,,,,
1221,,2.53,,6160,,Granite,,,,
1222,,2.53,,6340,,Granite,,,,
1223,,2.54,,5600,,Granite,,,,
1224,,2.55,,6690,,Granite,,,,
1225,,2.55,,6050,,Granite,,,,
1226,,2.56,,6150,,Granite,,,,
1227,,2.62,,6110,,Granite,,,,
1228,,2.62,,6270,,Granite,,,,
1229,,2.63,,6000,,Granite,,,,
1230,,3.11,,4430,,Granite,,,,
1231,10.76,1.34,,3910,,Basalt,Germany,Odenwald,Darmstadt,
1232,13.02,1.43,,2870,,Basalt,Germany,Odenwald,Darmstadt,
1233,3.68,1.77,,3900,,Basalt,Germany,Odenwald,Darmstadt,
1234,1.18,1.83,,5380,,Basalt,Germany,Odenwald,Darmstadt,
1235,,2.30,,5060,,Basalt,Germany,Odenwald,Roßdorf,
1236,,2.35,,5930,,Basalt,Germany,Odenwald,Roßdorf,
1237,,2.53,,6880,,Basalt,Germany,Odenwald,Roßdorf,
1238,,2.53,,6920,,Basalt,Germany,Odenwald,Roßdorf,
1239,,2.56,,6730,,Basalt,Germany,Odenwald,Roßdorf,
1240,,2.61,,6980,,Basalt,Germany,Odenwald,Roßdorf,
1241,,2.22,,5070,,Basalt,Germany,Rhön,Hilders,
1242,,2.22,,5630,,Basalt,Germany,Rhön,Hilders,
1243,,2.16,,5620,,Basalt,Germany,Vogelsberg,Alsfeld,Tertiary
1244,,2.20,,6570,,Basalt,Germany,Vogelsberg,Alsfeld,Tertiary
1245,,2.20,,5050,,Basalt,Germany,Vogelsberg,Alsfeld,Tertiary
1246,,2.26,,6190,,Basalt,Germany,Vogelsberg,Alsfeld,Tertiary
1247,,1.81,,4950,,Basalt,Germany,,,
1248,,1.93,,5240,,Basalt,Germany,,,
1249,,1.95,,6130,,Basalt,Germany,,,
1250,,1.99,,6310,,Basalt,Germany,,,
1251,,2.01,,5320,,Basalt,Germany,,,
1252,,2.01,,6450,,Basalt,Germany,,,
1253,,2.04,,4060,,Basalt,Germany,,,
1254,,2.04,,6170,,Basalt,Germany,,,
1255,,2.08,,5440,,Basalt,Germany,,,
1256,,2.08,,5690,,Basalt,Germany,,,
1257,,2.09,,6010,,Basalt,Germany,,,
1258,,2.14,,4270,,Basalt,Germany,,,
1259,2.10,2.24,,5140,,Basalt,Germany,,,
1260,,2.34,,4160,,Basalt,Germany,,,
1261,,2.52,,4480,,Basalt,Germany,,,
1262,,2.55,,6900,,Basalt,Germany,,,
1263,,1.25,,3810,,Basalt,Island,Reykjavik,,Quaternary
1264,,1.29,,4060,,Basalt,Island,Reykjavik,,Quaternary
1265,,1.29,,4360,,Basalt,Island,Reykjavik,,Quaternary
1266,,1.29,,4140,,Basalt,Island,Reykjavik,,Quaternary
1267,,1.29,,4160,,Basalt,Island,Reykjavik,,Quaternary
1268,,1.30,,4030,,Basalt,Island,Reykjavik,,Quaternary
1269,,1.31,,4260,,Basalt,Island,Reykjavik,,Quaternary
1270,,1.31,,4140,,Basalt,Island,Reykjavik,,Quaternary
1271,,1.32,,3930,,Basalt,Island,Reykjavik,,Quaternary
1272,,1.32,,4120,,Basalt,Island,Reykjavik,,Quaternary
1273,,1.32,,4350,,Basalt,Island,Reykjavik,,Quaternary
1274,,1.33,,3990,,Basalt,Island,Reykjavik,,Quaternary
1275,,1.33,,4110,,Basalt,Island,Reykjavik,,Quaternary
1276,,1.34,,4150,,Basalt,Island,Reykjavik,,Quaternary
1277,,1.34,,3820,,Basalt,Island,Reykjavik,,Quaternary
1278,,1.35,,4300,,Basalt,Island,Reykjavik,,Quaternary
1279,34.00,0.56,,1930,,Basalt,Island,,,Quaternary
1280,7.50,0.89,,3710,,Basalt,Island,,,Quaternary
1281,25.60,0.94,,3370,,Basalt,Island,,,Tertiary
1282,22.80,1.01,,2520,,Basalt,Island,,,Quaternary
1283,14.10,1.10,,2580,,Basalt,Island,,,Quaternary
1284,15.70,1.13,,2700,,Basalt,Island,,,Quaternary
1285,14.70,1.18,,4070,,Basalt,Island,,,Quaternary
1286,11.10,1.22,,2520,,Basalt,Island,,,Quaternary
1287,,1.25,,2790,,Basalt,Island,,,Quaternary
1288,,1.31,,3030,,Basalt,Island,,,Quaternary
1289,,1.51,,4230,,Basalt,Island,,,Quaternary
1290,,1.59,,4200,,Basalt,Island,,,Quaternary
1291,0.70,1.83,,5430,,Basalt,Island,,,Tertiary
1292,0.70,1.85,,5740,,Basalt,Island,,,Tertiary
1293,,1.93,,4800,,Basalt,Island,,,Tertiary
1294,,1.52,,4640,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1295,,1.56,,5150,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1296,,1.58,,5510,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1297,,1.60,,5640,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1298,,1.65,,4870,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1299,,1.69,,5820,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Al Ajib",Tertiary
1300,,1.41,,4610,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1301,,1.42,,4730,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1302,,1.58,,4280,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1303,,1.59,,5280,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1304,,1.60,,4710,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1305,,1.62,,4500,,Basalt,Jordan,Jordanian Harrat,"Zarqa, Wadi Alz Za`atri",Tertiary
1306,2.50,1.50,,2760,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1307,4.22,1.50,,4470,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1308,4.62,1.53,,4330,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1309,3.44,1.57,,4030,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1310,2.06,1.60,,3020,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1311,3.05,1.62,,4310,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1312,13.74,1.63,,3770,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1313,3.56,1.64,,2670,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1314,3.48,1.65,,4480,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1315,0.98,1.67,,4520,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1316,3.84,1.67,,3680,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1317,2.91,1.68,,3560,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1318,2.19,1.69,,4670,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1319,1.87,1.71,,3420,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1320,1.46,1.71,,5030,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1321,1.09,1.71,,4900,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1322,0.50,1.71,,5020,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1323,1.68,1.71,,4700,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1324,1.35,1.72,,4820,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1325,0.88,1.74,,4910,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1326,2.10,1.74,,5200,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1327,1.21,1.75,,4730,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1328,2.09,1.76,,4580,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1329,1.08,1.77,,5220,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1330,1.33,1.77,,4830,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1331,0.82,1.78,,5150,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1332,2.25,1.80,,2620,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1333,0.85,2.54,,4980,,Andesite,New Zealand,Central Volcanic Zone,Papamoa,
1334,13.16,1.44,,3190,,Andesite,New Zealand,Central Volcanic Zone,Tauhara,
1335,10.42,1.51,,3090,,Andesite,New Zealand,Central Volcanic Zone,Tauhara,
1336,6.77,1.87,,4670,,Andesite,New Zealand,Central Volcanic Zone,Tauhara,
1337,14.21,1.13,,3950,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1338,11.02,1.17,,4550,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1339,1.44,1.77,,3980,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1340,2.08,1.84,,5380,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1341,1.50,1.86,,5130,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1342,0.49,1.89,,4060,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1343,1.57,1.89,,4480,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1344,1.57,1.91,,4620,,Andesite,New Zealand,Central Volcanic Zone,Tokaanu,
1345,15.40,1.13,,3370,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1346,19.56,1.13,,3120,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1347,18.45,1.16,,2990,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
1348,13.07,1.16,,3540,,Andesite,New Zealand,Central Volcanic Zone,Tongariro,
